Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,727.75,891.75,NA,79.15,NA,60.03,23.38,9.28,13.00,13.88,67.97,NA,NA,NA,NA,6.15,88.42,0.57,304.88,0.00,0.00,3.28,997.08,NA
2020-01-01 01:00:00,734.25,896.00,NA,70.25,NA,60.18,24.90,9.60,12.52,14.52,73.32,NA,NA,NA,NA,6.02,89.25,0.38,271.60,0.00,0.00,3.40,997.00,NA
2020-01-01 02:00:00,777.00,969.50,NA,59.18,NA,56.15,25.98,9.00,9.67,14.73,77.85,NA,NA,NA,NA,5.98,90.55,0.50,306.40,0.00,0.00,3.38,996.98,NA
2020-01-01 03:00:00,710.50,875.25,NA,52.90,465.50,51.72,23.20,7.30,9.12,14.15,75.12,NA,NA,NA,NA,5.88,90.62,0.30,296.67,0.00,0.00,3.47,997.00,NA
2020-01-01 04:00:00,642.50,788.25,NA,53.60,NA,47.03,21.35,7.40,11.15,13.58,71.10,NA,NA,NA,NA,5.72,91.00,0.28,225.92,0.00,0.00,3.62,997.15,NA
2020-01-01 05:00:00,633.25,765.75,NA,38.33,482.00,48.85,15.30,6.75,11.58,13.65,70.50,NA,NA,NA,NA,5.52,90.92,0.30,235.18,0.00,0.00,3.47,997.20,NA
2020-01-01 06:00:00,641.50,760.00,NA,40.52,463.42,48.68,14.08,6.52,11.18,13.58,71.55,NA,NA,NA,NA,5.43,90.70,0.35,286.05,0.00,0.00,3.40,997.75,NA
2020-01-01 07:00:00,653.50,766.25,NA,56.00,NA,50.42,16.40,6.75,13.98,13.60,71.27,NA,NA,NA,NA,5.55,90.80,0.62,314.08,0.00,0.00,18.27,998.52,NA
2020-01-01 08:00:00,636.25,765.00,NA,73.18,485.70,46.58,15.58,5.85,36.25,13.18,71.08,NA,NA,NA,NA,6.50,88.65,0.38,234.70,0.00,0.00,69.50,999.68,NA
2020-01-01 09:00:00,568.00,711.00,222.68,212.28,294.40,57.88,15.18,2.65,29.95,12.02,66.60,NA,NA,NA,NA,8.23,75.07,0.92,150.82,0.00,0.00,149.40,NA,NA
2020-01-01 10:00:00,455.50,610.75,60.77,154.70,131.80,55.38,12.72,1.12,10.82,9.35,56.10,NA,NA,NA,NA,9.85,56.98,1.75,115.90,0.00,0.00,224.70,NA,NA
2020-01-01 11:00:00,342.50,444.00,25.33,74.25,60.15,51.28,5.12,0.40,20.95,7.18,36.18,NA,NA,NA,NA,10.73,53.05,2.00,142.75,0.00,0.00,296.42,NA,NA
2020-01-01 12:00:00,194.50,266.75,20.10,60.90,48.78,52.38,2.02,0.18,36.20,6.05,29.10,NA,NA,NA,NA,11.28,52.75,2.78,155.58,0.00,0.00,210.05,999.75,NA
2020-01-01 13:00:00,152.50,220.75,16.10,58.98,44.50,49.92,0.50,0.00,44.60,5.22,24.70,NA,NA,NA,NA,11.58,52.22,2.50,121.30,0.00,0.00,169.38,999.10,NA
2020-01-01 14:00:00,128.75,193.00,14.72,67.12,47.70,46.70,NA,0.00,46.97,4.53,21.98,NA,NA,NA,NA,11.68,52.35,2.90,142.60,0.00,0.00,142.10,998.58,NA
2020-01-01 15:00:00,125.00,195.25,12.75,79.35,52.60,46.15,0.60,0.00,41.40,4.25,21.22,NA,NA,NA,NA,11.62,53.53,1.62,141.85,0.00,0.00,90.12,998.25,NA
2020-01-01 16:00:00,124.00,207.50,30.65,123.30,90.55,44.50,NA,0.30,17.55,4.32,23.35,NA,NA,NA,NA,11.35,54.78,1.15,113.65,0.00,0.00,56.50,998.35,NA
2020-01-01 17:00:00,125.50,232.75,61.70,138.25,123.82,46.28,10.28,1.32,3.35,5.15,30.15,NA,NA,NA,NA,10.27,62.68,0.90,140.73,0.00,0.00,11.62,998.45,NA
2020-01-01 18:00:00,145.25,269.25,211.22,132.25,242.58,43.75,13.68,2.58,3.65,5.30,35.05,NA,NA,NA,NA,8.65,75.82,0.50,310.58,0.00,0.00,3.22,998.55,NA
2020-01-01 19:00:00,201.00,344.50,NA,139.48,487.70,53.38,22.83,5.90,5.72,8.57,62.47,NA,NA,NA,NA,8.05,82.25,0.40,245.48,0.00,0.00,3.38,999.02,NA
2020-01-01 20:00:00,352.25,521.00,NA,138.78,NA,51.85,36.48,4.06,8.43,11.30,67.82,NA,NA,NA,NA,7.65,85.38,0.52,302.95,0.00,0.00,3.20,999.42,NA
2020-01-01 21:00:00,498.75,670.25,NA,118.40,NA,61.22,43.38,4.91,10.25,13.58,73.75,NA,NA,NA,NA,7.52,86.28,0.68,314.05,0.00,0.00,3.15,999.70,NA
2020-01-01 22:00:00,564.75,716.75,NA,103.18,NA,54.80,45.82,9.35,9.43,13.62,72.12,NA,NA,NA,NA,7.48,86.75,0.38,281.95,0.00,0.00,3.18,999.68,NA
2020-01-01 23:00:00,532.50,671.75,NA,94.12,NA,52.32,25.12,9.18,8.60,13.48,70.97,NA,NA,NA,NA,7.30,86.93,0.38,311.02,0.00,0.00,3.10,999.45,NA
2020-01-02 00:00:00,532.75,659.00,NA,72.10,NA,57.02,22.28,9.10,8.85,13.68,72.97,NA,NA,NA,NA,7.28,87.32,0.52,297.08,0.00,0.00,3.12,999.18,NA
2020-01-02 01:00:00,519.00,636.75,NA,59.72,NA,53.80,20.33,8.73,9.20,13.05,76.28,NA,NA,NA,NA,7.12,87.62,0.48,303.90,0.00,0.00,3.05,998.90,NA
2020-01-02 02:00:00,515.50,620.25,NA,48.90,NA,57.15,18.95,NA,9.12,12.50,78.00,NA,NA,NA,NA,6.93,87.92,0.50,298.77,0.00,0.00,3.05,998.62,NA
2020-01-02 03:00:00,529.00,625.25,NA,46.45,476.32,52.98,16.92,NA,8.90,NA,NA,NA,NA,NA,NA,6.88,88.45,0.65,300.42,0.00,0.00,3.08,998.35,NA
2020-01-02 04:00:00,575.75,671.25,478.90,39.88,466.48,50.58,15.70,NA,8.68,NA,NA,NA,NA,NA,NA,6.68,88.85,0.70,302.60,0.00,0.00,3.02,998.05,NA
