Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,432.75,706.50,176.50,111.24,199.64,46.69,25.38,6.78,32.52,43.82,123.67,NA,24.57,29.30,20.46,NA,61.09,0.15,249.74,0.00,0.00,9.51,NA,NA
2019-01-01 01:00:00,401.75,600.00,161.73,114.35,189.45,45.18,24.60,6.23,32.57,40.75,118.87,NA,5.39,27.06,26.17,NA,59.82,0.18,273.25,0.00,0.00,9.92,NA,NA
2019-01-01 02:00:00,398.75,604.00,150.71,110.44,178.58,42.78,24.47,5.65,32.50,36.67,110.41,NA,NA,24.90,27.01,NA,59.69,0.19,250.03,0.00,0.00,10.36,NA,NA
2019-01-01 03:00:00,364.75,569.25,103.35,102.30,136.44,35.19,22.77,4.37,32.50,32.10,98.51,NA,NA,22.11,24.34,NA,58.32,0.13,223.37,0.00,0.00,9.59,NA,NA
2019-01-01 04:00:00,327.75,498.00,60.01,94.88,97.88,27.93,21.22,3.24,32.48,26.16,82.91,NA,5.53,19.44,21.15,NA,56.84,0.17,252.47,0.00,0.00,9.56,NA,NA
2019-01-01 05:00:00,299.75,427.50,28.53,92.26,71.33,23.20,19.78,2.44,33.02,21.59,67.93,NA,19.92,17.88,11.23,NA,55.72,0.17,287.58,0.00,0.00,9.92,NA,NA
2019-01-01 06:00:00,278.75,405.25,20.86,80.40,58.98,20.40,19.80,1.98,34.07,18.11,59.96,NA,NA,17.18,17.54,NA,54.88,0.32,258.58,0.00,0.00,10.87,NA,NA
2019-01-01 07:00:00,261.00,383.25,15.90,72.21,50.72,19.19,19.65,1.56,34.55,16.38,50.71,NA,NA,15.18,15.25,NA,54.17,0.40,259.27,0.00,0.00,25.38,NA,NA
2019-01-01 08:00:00,262.25,395.50,16.13,81.92,55.99,17.35,19.72,1.47,34.62,14.36,42.70,NA,0.07,13.57,13.29,NA,54.23,0.53,252.37,0.00,0.00,117.43,NA,NA
2019-01-01 09:00:00,301.00,450.00,5.05,74.13,43.05,17.79,19.60,1.18,46.68,13.72,38.05,NA,7.80,12.78,6.94,NA,55.77,0.75,277.59,0.00,0.00,247.36,NA,NA
2019-01-01 10:00:00,290.50,450.75,2.30,55.07,30.88,17.14,20.07,0.91,74.05,12.03,32.92,NA,1.77,10.89,9.54,NA,55.34,0.64,317.43,0.00,0.00,332.46,NA,NA
2019-01-01 11:00:00,221.50,405.50,2.42,46.23,26.35,17.30,21.00,0.68,85.77,9.76,29.24,NA,0.16,9.65,10.05,NA,52.58,0.76,300.44,0.00,0.00,321.39,NA,NA
2019-01-01 12:00:00,168.50,308.00,2.02,42.92,24.29,17.61,22.80,0.50,90.00,7.99,26.11,NA,0.19,8.23,9.38,NA,50.46,0.73,310.01,0.00,0.00,169.31,NA,NA
2019-01-01 13:00:00,119.00,308.75,1.83,41.81,23.55,17.66,23.20,0.37,90.73,6.87,25.76,NA,2.52,7.61,8.11,NA,48.46,0.77,319.91,0.00,0.00,129.32,NA,NA
2019-01-01 14:00:00,101.00,293.75,2.23,36.79,21.25,17.90,22.95,0.26,100.20,6.21,25.24,NA,5.19,7.02,5.92,NA,47.78,0.88,309.66,0.00,0.00,181.26,NA,NA
2019-01-01 15:00:00,84.00,246.50,2.58,42.19,24.35,15.64,22.85,0.41,89.43,4.36,25.37,NA,0.23,6.43,8.15,NA,47.07,0.65,319.41,0.00,0.00,145.75,NA,NA
2019-01-01 16:00:00,86.00,303.00,1.92,43.63,24.57,16.44,22.12,0.38,87.00,5.94,27.31,NA,0.23,6.68,8.71,NA,47.15,0.62,302.37,0.00,0.00,76.21,NA,NA
2019-01-01 17:00:00,90.25,425.75,9.53,67.91,43.38,14.25,21.03,1.07,51.18,7.38,35.24,NA,0.23,7.10,9.19,NA,47.33,0.17,119.24,0.00,0.00,9.26,NA,NA
2019-01-01 18:00:00,133.75,717.50,27.27,97.06,72.84,19.83,20.62,2.14,32.93,9.53,63.09,NA,11.09,10.72,7.54,NA,49.06,0.13,141.04,0.00,0.00,7.85,NA,NA
2019-01-01 19:00:00,196.75,585.75,77.47,107.41,118.41,29.11,22.38,4.02,32.48,7.73,85.99,NA,NA,15.12,16.69,NA,51.60,0.13,233.25,0.00,0.00,8.94,NA,NA
2019-01-01 20:00:00,281.25,691.50,157.13,108.46,182.69,43.05,25.40,6.59,32.45,30.88,119.35,NA,NA,23.86,25.11,NA,54.99,0.11,140.98,0.00,0.00,8.97,NA,NA
2019-01-01 21:00:00,333.00,747.25,162.16,100.66,182.63,43.44,25.30,7.29,32.98,51.33,145.51,NA,NA,35.23,36.94,NA,57.09,0.15,121.46,0.00,0.00,10.41,NA,NA
2019-01-01 22:00:00,474.75,687.00,148.00,98.42,170.13,40.74,24.70,7.91,32.93,59.19,153.17,NA,32.97,39.43,36.06,NA,62.78,0.09,168.32,0.00,0.00,9.83,NA,NA
2019-01-01 23:00:00,539.00,813.00,142.83,104.12,168.99,41.90,24.05,8.16,32.75,62.65,154.01,NA,54.46,41.02,18.67,NA,65.35,0.14,174.39,0.00,0.00,10.95,NA,NA
2019-01-02 00:00:00,524.25,738.75,115.11,95.36,142.22,37.44,23.45,7.23,32.57,61.56,150.93,NA,NA,41.53,43.49,NA,64.75,0.16,104.82,0.00,0.00,9.77,NA,NA
2019-01-02 01:00:00,426.75,559.25,75.59,87.88,106.69,30.65,22.43,5.69,32.50,51.83,139.06,NA,NA,36.79,38.52,NA,60.81,0.16,141.50,0.00,0.00,10.75,NA,NA
2019-01-02 02:00:00,401.75,526.00,56.11,86.18,90.22,27.03,21.38,4.69,32.62,42.31,124.11,NA,NA,31.72,33.43,NA,59.81,0.08,102.69,0.00,0.00,10.45,NA,NA
2019-01-02 03:00:00,388.75,522.00,43.72,83.23,78.75,24.86,20.55,4.08,32.52,37.01,112.89,NA,40.01,28.34,11.86,NA,59.29,0.09,129.93,0.00,0.00,10.08,NA,NA
2019-01-02 04:00:00,371.75,489.50,32.94,78.66,67.74,23.48,20.32,3.60,33.12,33.73,110.62,NA,NA,27.89,28.76,NA,58.61,0.16,168.14,0.00,0.00,9.81,NA,NA
2019-01-02 05:00:00,354.75,469.25,31.90,74.75,64.86,23.65,20.42,3.32,33.23,29.71,95.62,NA,NA,23.90,24.62,NA,57.93,0.12,169.70,0.00,0.00,10.27,NA,NA
2019-01-02 06:00:00,342.50,450.25,43.92,71.69,72.87,25.53,20.75,3.45,33.27,28.27,90.78,NA,NA,22.70,23.27,NA,57.44,0.15,114.20,0.00,0.00,10.76,NA,NA
2019-01-02 07:00:00,401.25,496.25,45.15,70.60,73.29,25.14,20.67,3.29,32.95,31.31,92.47,NA,16.70,22.80,16.69,NA,59.79,0.13,69.32,0.00,0.00,23.96,NA,NA
2019-01-02 08:00:00,326.00,465.50,41.47,88.12,79.51,19.49,20.55,3.04,32.85,29.54,88.11,NA,13.32,21.11,20.02,NA,56.81,0.16,92.83,0.00,0.00,99.86,NA,NA
2019-01-02 09:00:00,324.00,491.00,28.28,105.60,78.11,20.12,20.43,2.79,33.77,26.45,85.31,NA,NA,19.87,21.12,NA,56.67,0.37,133.93,0.00,0.00,197.59,NA,NA
2019-01-02 10:00:00,344.75,603.25,2.61,73.80,40.93,22.68,20.05,1.72,63.97,21.72,73.25,NA,NA,17.62,19.44,NA,57.51,1.14,155.95,0.00,0.00,286.33,NA,NA
2019-01-02 11:00:00,294.25,536.00,1.38,46.96,25.89,19.35,21.22,1.06,97.07,16.57,56.30,NA,NA,14.63,17.11,NA,55.50,1.20,158.71,0.00,0.00,291.25,NA,NA
2019-01-02 12:00:00,223.50,466.75,1.22,36.84,20.46,17.75,21.10,0.81,114.57,13.55,45.20,NA,11.58,12.31,9.05,NA,52.67,1.08,170.84,0.00,0.00,181.80,NA,NA
2019-01-02 13:00:00,192.00,419.00,1.53,33.65,19.05,16.52,21.55,0.63,122.55,11.47,39.39,NA,0.22,10.78,12.65,NA,51.40,1.01,154.12,0.00,0.00,144.64,NA,NA
2019-01-02 14:00:00,184.75,383.00,1.41,32.95,18.58,17.50,21.95,0.51,123.02,9.64,34.78,NA,0.21,10.14,11.47,NA,51.11,0.85,180.06,0.00,0.00,176.98,NA,NA
2019-01-02 15:00:00,172.00,426.25,1.46,35.85,20.13,17.65,21.35,0.45,109.65,8.45,32.00,NA,0.23,9.34,10.54,NA,50.63,0.44,201.58,0.00,0.00,135.77,NA,NA
2019-01-02 16:00:00,154.25,401.75,1.38,40.44,22.49,15.88,20.53,0.55,87.95,8.06,30.86,NA,5.78,8.76,7.09,NA,49.89,0.24,176.72,0.00,0.00,53.67,NA,NA
2019-01-02 17:00:00,185.00,505.75,2.02,50.62,28.31,14.91,20.00,1.06,72.07,15.10,41.12,NA,1.47,9.27,9.74,NA,51.13,0.13,196.90,0.00,0.00,9.81,NA,NA
2019-01-02 18:00:00,213.75,665.25,31.03,88.25,71.23,21.42,21.12,2.88,36.10,30.75,73.87,NA,0.17,13.54,15.51,NA,52.28,0.12,197.20,0.00,0.00,7.07,NA,NA
2019-01-02 19:00:00,298.25,710.00,119.41,109.78,153.21,37.36,23.95,5.66,31.73,45.57,122.74,NA,NA,23.06,24.82,NA,55.67,0.14,84.11,0.00,0.00,8.73,NA,NA
2019-01-02 20:00:00,334.00,746.50,127.85,107.49,158.76,37.82,24.07,6.24,31.80,58.31,149.86,NA,11.50,33.46,31.44,NA,57.10,0.12,180.20,0.00,0.00,9.45,NA,NA
2019-01-02 21:00:00,351.25,658.50,264.77,80.66,254.24,56.59,28.22,8.61,32.13,58.49,153.39,NA,57.46,36.86,21.09,NA,57.80,0.28,260.75,0.00,0.00,10.14,NA,NA
2019-01-02 22:00:00,391.00,707.00,278.54,73.96,261.75,59.78,28.70,8.28,32.50,64.34,168.58,NA,7.76,46.43,50.51,NA,59.40,0.18,227.46,0.00,0.00,9.19,NA,NA
2019-01-02 23:00:00,388.00,599.00,208.13,90.26,213.96,50.67,26.40,7.31,32.15,55.84,165.62,NA,NA,47.77,54.26,NA,59.30,0.24,246.51,0.00,0.00,10.34,NA,NA
2019-01-03 00:00:00,437.75,616.00,144.54,90.59,163.25,41.37,24.22,6.25,32.35,44.95,141.27,NA,NA,38.44,45.12,NA,61.25,0.13,186.94,0.00,0.00,10.05,NA,NA
2019-01-03 01:00:00,406.50,576.50,143.85,83.85,159.19,39.68,24.42,5.63,32.85,45.83,132.09,NA,46.80,35.46,41.20,NA,59.99,0.26,237.30,0.00,0.00,9.93,NA,NA
2019-01-03 02:00:00,348.00,519.50,129.36,79.43,145.27,39.68,23.80,4.92,32.53,43.99,116.95,NA,6.39,31.52,37.12,NA,57.66,0.16,259.86,0.00,0.00,9.58,NA,NA
2019-01-03 03:00:00,338.25,468.25,103.55,71.39,120.42,36.05,22.65,4.45,32.65,34.40,92.33,NA,NA,22.95,26.23,NA,57.27,0.22,282.31,0.00,0.00,10.13,NA,NA
2019-01-03 04:00:00,367.25,511.25,78.98,68.49,99.24,34.15,21.95,3.98,32.55,35.36,99.09,NA,NA,22.81,24.59,NA,58.43,0.34,262.93,0.00,0.00,9.95,NA,NA
2019-01-03 05:00:00,396.25,556.50,56.95,64.01,79.27,31.11,21.30,3.45,32.52,34.67,103.69,NA,6.02,22.36,20.54,NA,59.60,0.38,256.61,0.00,0.00,10.03,NA,NA
2019-01-03 06:00:00,429.25,610.25,40.60,68.00,68.28,30.07,20.60,3.05,32.62,33.51,108.32,NA,21.54,21.63,15.08,NA,60.92,0.19,267.52,0.00,0.00,9.82,NA,NA
2019-01-03 07:00:00,471.00,660.75,32.91,63.37,59.70,26.31,20.58,2.60,32.98,31.71,108.80,NA,NA,20.33,19.26,NA,62.59,0.47,291.21,0.00,0.00,21.86,NA,NA
2019-01-03 08:00:00,457.75,658.25,26.00,85.34,65.68,20.76,20.75,2.38,32.67,29.05,101.79,NA,NA,18.02,17.41,NA,62.10,0.73,295.78,0.00,0.00,91.95,NA,NA
2019-01-03 09:00:00,434.25,624.25,20.97,119.96,79.78,8.60,20.80,2.38,33.65,26.18,91.76,NA,NA,16.27,16.06,NA,61.12,0.96,288.44,0.00,0.00,191.71,NA,NA
2019-01-03 10:00:00,473.75,666.50,8.22,97.82,58.00,14.56,19.88,2.09,44.32,22.16,67.58,NA,16.55,13.37,8.79,NA,62.72,0.84,308.76,0.00,0.00,288.65,NA,NA
2019-01-03 11:00:00,432.00,612.00,4.07,70.32,40.27,17.59,20.28,1.69,63.02,13.71,46.89,NA,NA,9.66,10.67,NA,61.01,0.89,307.51,0.00,0.00,300.00,NA,NA
2019-01-03 12:00:00,326.25,539.00,3.02,57.15,32.54,18.55,20.75,1.33,77.00,11.09,38.72,NA,0.08,8.62,10.09,NA,56.78,1.15,289.63,0.00,0.00,182.99,NA,NA
2019-01-03 13:00:00,246.50,573.75,2.27,46.44,26.33,19.14,21.18,0.95,86.62,9.15,32.54,NA,0.18,7.65,9.34,NA,53.57,1.54,295.27,0.00,0.00,142.05,NA,NA
2019-01-03 14:00:00,180.25,398.50,2.27,38.95,22.42,18.12,21.38,0.75,103.30,7.37,27.23,NA,2.07,6.87,7.70,NA,50.96,1.46,306.10,0.00,0.00,185.63,NA,NA
2019-01-03 15:00:00,209.75,565.75,3.62,38.99,23.51,16.75,22.15,0.68,102.12,6.71,24.85,NA,4.12,6.32,5.50,NA,52.10,1.56,299.35,0.00,0.00,164.96,NA,NA
2019-01-03 16:00:00,166.00,503.75,2.33,41.78,23.94,16.32,21.95,0.60,88.73,6.12,26.21,NA,0.17,6.41,8.25,NA,50.40,1.44,299.05,0.00,0.00,75.04,NA,NA
2019-01-03 17:00:00,161.25,418.00,2.38,53.27,30.00,15.05,21.35,0.81,72.58,8.41,34.34,NA,0.23,8.06,10.18,NA,50.17,0.94,292.16,0.00,0.00,13.42,NA,NA
2019-01-03 18:00:00,190.75,489.00,7.17,69.14,42.13,15.22,20.65,1.45,50.05,10.08,39.06,NA,0.25,8.88,11.51,NA,51.35,0.80,290.74,0.00,0.00,8.86,NA,NA
2019-01-03 19:00:00,267.50,521.25,6.52,71.11,42.65,16.77,20.15,1.64,50.50,12.99,43.87,NA,5.16,10.06,6.88,NA,54.43,1.04,296.85,0.00,0.00,9.36,NA,NA
2019-01-03 20:00:00,318.50,540.25,7.48,73.86,44.84,16.78,20.15,1.90,48.40,14.15,44.91,NA,0.26,9.84,12.22,NA,56.50,0.88,290.70,0.00,0.00,9.36,NA,NA
2019-01-03 21:00:00,369.00,599.50,10.22,66.17,43.02,18.12,20.08,1.98,40.40,15.63,46.44,NA,0.26,10.42,12.91,NA,58.50,0.92,297.76,0.00,0.00,9.65,NA,NA
2019-01-03 22:00:00,368.75,504.00,7.43,58.97,37.02,18.82,20.18,1.76,40.72,15.24,35.76,NA,0.21,8.96,10.30,NA,59.31,0.94,296.01,0.00,0.00,9.48,NA,NA
2019-01-03 23:00:00,324.00,467.00,6.41,61.14,37.33,18.51,21.15,1.69,41.95,13.89,32.58,NA,0.21,8.97,11.24,NA,60.51,0.90,293.27,0.00,0.00,9.56,NA,NA
2019-01-04 00:00:00,317.00,444.75,5.67,54.96,33.51,17.53,20.25,1.45,44.60,13.63,31.38,NA,10.13,8.79,7.15,NA,57.51,1.02,295.31,0.00,0.00,9.62,NA,NA
2019-01-04 01:00:00,310.75,430.50,4.73,49.27,29.78,17.79,21.50,1.30,42.27,12.60,27.86,NA,0.24,7.80,10.28,NA,58.07,1.04,290.58,0.00,0.00,9.66,NA,NA
2019-01-04 02:00:00,281.75,414.25,3.46,44.93,26.49,18.49,22.45,1.18,41.35,13.31,26.85,NA,0.28,6.50,10.63,NA,55.00,1.18,300.11,0.00,0.00,9.74,NA,NA
2019-01-04 03:00:00,267.00,393.50,4.17,43.32,26.22,19.30,23.00,1.13,37.68,16.21,27.19,NA,0.33,6.45,10.84,NA,54.45,1.04,295.50,0.00,0.00,9.68,NA,NA
2019-01-04 04:00:00,273.75,407.00,3.20,37.09,22.18,17.59,20.45,1.09,41.90,17.47,26.85,NA,6.13,7.41,5.82,NA,54.68,1.05,297.02,0.00,0.00,10.68,NA,NA
2019-01-04 05:00:00,250.50,370.25,4.41,36.77,22.97,17.63,21.18,0.96,42.65,16.75,27.66,NA,0.23,5.71,8.21,NA,53.77,1.18,288.13,0.00,0.00,11.05,NA,NA
2019-01-04 06:00:00,185.75,306.25,3.04,35.35,21.14,17.20,22.10,0.83,43.95,15.50,27.84,NA,0.29,5.67,9.40,NA,51.15,0.95,296.73,0.00,0.00,10.64,NA,NA
2019-01-04 07:00:00,155.75,243.00,2.71,34.87,20.62,16.63,22.57,0.76,44.30,12.09,23.64,NA,0.27,5.05,8.31,NA,49.95,0.78,282.77,0.00,0.00,19.46,NA,NA
2019-01-04 08:00:00,141.25,241.25,4.99,43.99,27.22,16.63,21.48,0.88,41.07,8.97,16.90,NA,3.00,4.13,4.75,NA,49.36,0.76,272.69,0.00,0.00,57.23,NA,NA
2019-01-04 09:00:00,173.75,311.50,6.82,67.41,40.94,9.58,20.72,1.07,44.62,9.70,15.85,NA,3.72,3.86,3.74,NA,50.67,0.55,280.57,0.00,0.00,196.74,NA,NA
2019-01-04 10:00:00,237.00,1000.00,5.55,70.91,41.77,12.62,22.15,1.19,50.65,10.36,17.62,NA,0.18,3.79,5.88,NA,53.44,0.52,294.86,0.00,0.00,292.43,NA,NA
2019-01-04 11:00:00,238.00,1000.00,3.94,67.45,38.67,17.09,23.83,1.28,52.10,11.02,21.80,NA,0.22,4.66,7.41,NA,53.25,0.66,292.91,0.00,0.00,153.11,NA,NA
2019-01-04 12:00:00,249.75,1000.00,3.51,56.17,32.41,15.65,22.23,1.28,58.93,12.32,26.68,NA,1.72,5.80,7.15,NA,53.72,0.77,282.67,0.00,0.00,162.24,NA,NA
2019-01-04 13:00:00,233.00,NA,3.32,55.59,31.96,13.53,20.58,1.34,80.10,12.94,30.19,NA,6.16,6.63,4.68,NA,53.04,0.56,300.51,0.00,0.00,155.51,NA,NA
2019-01-04 14:00:00,237.75,NA,3.34,54.18,31.24,12.55,20.92,1.26,94.70,13.72,37.34,NA,NA,7.63,7.68,NA,53.27,0.34,190.67,0.00,0.00,104.54,NA,NA
2019-01-04 15:00:00,196.75,NA,3.77,51.02,29.93,10.99,20.70,1.22,80.27,15.96,48.72,NA,0.07,8.67,8.62,NA,51.59,0.32,129.98,0.00,0.00,50.94,NA,NA
2019-01-04 16:00:00,175.00,NA,7.06,62.40,38.51,11.28,20.68,1.30,70.30,16.05,65.10,NA,0.17,10.20,10.04,NA,50.72,0.21,240.00,0.00,0.00,29.14,NA,NA
2019-01-04 17:00:00,169.00,498.25,6.61,71.37,42.86,14.09,20.00,1.59,60.93,16.17,70.60,NA,4.37,11.15,6.26,NA,50.48,0.12,175.75,0.00,0.00,11.05,NA,NA
2019-01-04 18:00:00,184.75,558.75,24.40,101.04,72.63,22.76,20.70,2.78,35.65,19.95,93.11,NA,NA,14.02,16.55,NA,51.11,0.08,243.21,0.00,0.00,9.17,NA,NA
2019-01-04 19:00:00,278.75,682.75,107.65,114.56,146.29,30.96,23.62,5.54,32.78,32.97,127.48,NA,NA,22.33,31.96,NA,54.88,0.12,257.00,0.00,0.00,9.89,NA,NA
2019-01-04 20:00:00,357.50,803.50,155.19,112.03,183.00,41.15,25.12,7.05,33.05,48.63,140.71,NA,NA,32.32,37.68,NA,58.06,0.09,73.86,0.00,0.00,9.30,NA,NA
2019-01-04 21:00:00,409.75,851.00,138.40,104.13,165.43,39.23,24.40,6.90,32.82,54.51,145.31,NA,NA,37.63,40.56,NA,60.13,0.17,112.29,0.00,0.00,10.05,NA,NA
2019-01-04 22:00:00,384.75,721.75,140.97,107.72,169.36,40.07,24.25,7.20,32.95,55.33,144.79,NA,16.10,37.07,30.81,NA,59.16,0.10,181.22,0.00,0.00,9.10,NA,NA
2019-01-04 23:00:00,447.00,755.00,161.15,99.31,181.11,41.01,25.30,7.62,33.50,56.34,144.09,NA,NA,38.27,40.17,NA,61.62,0.16,140.48,0.00,0.00,9.45,NA,NA
2019-01-05 00:00:00,413.00,701.25,154.67,90.24,171.19,41.91,25.00,7.14,41.50,57.59,142.86,NA,NA,36.98,38.18,NA,60.26,0.28,99.93,0.00,0.00,10.02,NA,NA
2019-01-05 01:00:00,415.25,607.75,127.75,85.33,147.08,41.69,24.03,6.49,49.73,57.94,143.04,NA,NA,36.69,37.19,NA,60.35,0.20,100.21,0.00,0.00,9.81,NA,NA
2019-01-05 02:00:00,446.25,727.25,85.64,84.30,112.84,35.57,22.28,5.33,41.70,55.25,143.15,NA,46.55,35.82,14.08,NA,61.60,0.16,97.91,0.00,0.00,10.21,NA,NA
2019-01-05 03:00:00,381.75,608.50,40.80,82.21,75.89,27.51,20.78,3.92,35.45,45.34,133.85,NA,NA,31.69,30.81,NA,59.01,0.13,125.74,0.00,0.00,10.22,NA,NA
2019-01-05 04:00:00,344.75,499.00,15.40,76.57,52.61,22.20,19.95,3.00,33.95,35.65,120.03,NA,NA,27.32,26.85,NA,57.52,0.15,110.47,0.00,0.00,10.79,NA,NA
2019-01-05 05:00:00,310.75,453.25,5.92,63.63,38.25,18.68,19.60,2.21,36.62,28.68,104.59,NA,NA,23.82,22.88,NA,56.17,0.17,93.77,0.00,0.00,10.87,NA,NA
2019-01-05 06:00:00,289.50,424.75,6.66,54.56,34.09,16.63,19.48,1.79,36.98,22.44,81.42,NA,10.93,18.91,16.16,NA,55.32,0.23,110.52,0.00,0.00,10.96,NA,NA
2019-01-05 07:00:00,257.00,418.25,6.48,54.37,33.85,16.90,19.35,1.66,39.25,19.74,65.68,NA,8.55,16.15,11.04,NA,54.01,0.27,98.22,0.00,0.00,27.54,NA,NA
2019-01-05 08:00:00,258.25,423.25,8.72,64.49,40.94,15.32,19.80,1.74,37.35,18.50,57.61,NA,NA,14.89,13.99,NA,54.05,0.19,82.32,0.00,0.00,96.98,NA,NA
2019-01-05 09:00:00,273.00,465.25,5.41,85.69,49.39,9.29,19.92,1.61,47.75,18.11,52.80,NA,NA,13.81,13.25,NA,54.66,0.96,151.26,0.00,0.00,217.39,NA,NA
2019-01-05 10:00:00,287.25,435.50,1.74,42.11,23.64,16.30,20.22,1.10,76.65,15.67,41.74,NA,0.11,11.46,11.83,NA,55.23,1.52,157.67,0.00,0.00,306.93,NA,NA
2019-01-05 11:00:00,221.50,340.75,1.89,31.48,18.20,15.55,19.97,0.79,92.65,13.08,34.60,NA,8.32,10.05,6.55,NA,52.58,1.70,161.66,0.00,0.00,311.61,NA,NA
2019-01-05 12:00:00,151.75,290.75,1.83,30.87,17.83,14.53,20.90,0.64,97.83,11.54,33.22,NA,0.12,9.86,9.94,NA,49.79,1.36,150.73,0.00,0.00,179.29,NA,NA
2019-01-05 13:00:00,125.75,286.00,1.26,26.05,14.84,14.07,21.05,0.43,105.07,9.78,30.87,NA,0.16,9.16,9.75,NA,48.74,1.54,137.98,0.00,0.00,144.11,NA,NA
2019-01-05 14:00:00,100.25,280.25,1.67,22.28,13.20,12.41,19.88,0.41,98.07,6.84,24.35,NA,0.14,7.05,7.72,NA,47.72,1.23,131.57,0.00,0.00,173.38,NA,NA
2019-01-05 15:00:00,127.75,251.25,1.29,24.86,14.25,13.37,20.32,0.37,97.60,0.66,20.96,NA,0.12,5.76,6.63,NA,48.83,1.27,134.31,0.00,0.00,137.01,NA,NA
2019-01-05 16:00:00,112.00,257.00,1.48,26.17,15.09,12.37,20.63,0.38,97.48,0.60,20.34,NA,0.20,5.28,7.47,NA,48.19,1.00,133.51,0.00,0.00,59.88,NA,NA
2019-01-05 17:00:00,109.25,256.00,4.25,49.86,29.71,12.71,20.40,0.81,59.75,3.39,21.81,NA,0.20,5.15,7.87,NA,48.08,0.27,114.36,0.00,0.00,11.39,NA,NA
2019-01-05 18:00:00,130.50,389.00,10.63,78.69,49.91,17.80,20.35,1.59,37.55,10.83,35.61,NA,0.19,7.59,9.87,NA,48.93,0.17,103.79,0.00,0.00,8.28,NA,NA
2019-01-05 19:00:00,193.25,466.50,21.12,87.53,62.92,20.62,20.65,2.48,34.05,16.71,56.38,NA,3.83,11.61,13.29,NA,51.44,0.15,104.70,0.00,0.00,8.85,NA,NA
2019-01-05 20:00:00,211.75,532.00,46.15,98.57,88.73,27.47,21.15,3.57,32.03,25.36,80.59,NA,13.29,16.55,11.51,NA,52.22,0.14,100.33,0.00,0.00,9.58,NA,NA
2019-01-05 21:00:00,294.25,611.50,70.38,93.09,105.24,29.39,21.82,4.65,32.43,34.08,104.38,NA,NA,21.49,21.64,NA,55.50,0.18,124.69,0.00,0.00,10.25,NA,NA
2019-01-05 22:00:00,332.50,631.75,73.69,81.50,101.82,28.86,22.15,4.88,32.67,40.31,116.55,NA,NA,25.74,25.43,NA,57.03,0.27,101.85,0.00,0.00,11.59,NA,NA
2019-01-05 23:00:00,385.00,571.00,86.53,52.20,96.76,29.37,22.30,4.19,32.90,40.60,115.17,NA,24.59,26.89,26.00,NA,59.14,0.27,98.32,0.00,0.00,9.45,NA,NA
2019-01-06 00:00:00,328.50,528.75,21.73,73.49,56.06,22.12,20.07,3.00,33.55,32.01,94.02,NA,26.93,25.69,13.66,NA,56.87,0.25,103.33,0.00,0.00,11.04,NA,NA
2019-01-06 01:00:00,256.00,374.75,3.19,62.08,35.26,16.74,19.57,2.06,44.27,24.31,73.43,NA,3.45,21.12,18.17,NA,53.97,0.31,114.84,0.00,0.00,9.98,NA,NA
2019-01-06 02:00:00,249.00,357.50,2.18,44.66,25.33,15.07,19.75,1.51,49.05,17.91,57.41,NA,NA,17.35,15.97,NA,53.68,0.18,122.27,0.00,0.00,11.03,NA,NA
2019-01-06 03:00:00,243.00,339.00,1.99,40.61,23.05,14.03,19.85,1.21,48.00,15.26,48.78,NA,0.08,13.97,13.25,NA,53.48,0.25,77.13,0.00,0.00,11.18,NA,NA
2019-01-06 04:00:00,249.75,340.75,2.37,39.43,22.74,13.76,19.75,0.94,49.80,13.24,42.14,NA,2.70,12.50,10.40,NA,53.72,0.94,333.97,0.00,0.00,8.27,NA,NA
2019-01-06 05:00:00,248.50,367.75,1.22,32.96,18.43,14.37,19.47,0.80,51.77,12.65,37.05,NA,8.88,10.38,6.65,NA,53.63,0.36,244.07,0.00,0.02,9.96,NA,NA
2019-01-06 06:00:00,190.50,273.75,1.84,32.62,18.75,13.54,19.80,0.57,49.25,10.38,29.66,NA,0.15,8.29,8.96,NA,51.34,0.17,232.45,0.00,0.02,10.30,NA,NA
2019-01-06 07:00:00,133.50,178.25,2.03,29.38,17.20,13.52,19.85,0.31,48.40,8.00,23.31,NA,0.19,5.98,8.09,NA,49.06,0.81,164.19,0.02,0.07,14.72,NA,NA
2019-01-06 08:00:00,93.00,144.75,3.04,31.90,19.32,13.88,19.77,0.27,49.25,5.92,18.78,NA,0.19,4.64,6.30,NA,47.43,0.90,277.46,0.00,0.02,37.65,NA,NA
2019-01-06 09:00:00,87.00,132.25,2.41,36.03,20.99,12.54,19.47,0.33,50.93,5.49,18.40,NA,1.98,4.58,4.01,NA,47.19,0.42,213.44,0.00,0.00,27.17,NA,NA
2019-01-06 10:00:00,102.25,143.50,5.59,41.14,26.21,12.31,19.68,0.48,50.20,5.72,18.82,NA,0.17,4.59,5.92,NA,47.80,0.68,59.55,0.01,0.03,216.51,NA,NA
