Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,284.47,378.83,72.17,39.27,78.30,56.70,10.67,3.32,0.64,24.07,52.45,10.81,NA,6.43,20.67,NA,98.35,0.39,252.96,NA,0.00,6.80,751.18,NA
2021-01-01 01:00:00,349.85,424.08,73.70,38.46,79.10,54.52,8.91,4.20,0.56,24.96,51.11,10.44,NA,6.10,19.80,NA,98.96,0.42,252.40,NA,0.00,6.90,751.31,NA
2021-01-01 02:00:00,397.80,416.99,90.36,35.20,90.71,51.66,9.12,3.79,0.53,23.89,51.37,10.71,NA,6.15,20.10,NA,98.97,0.82,232.11,NA,0.00,7.45,751.29,NA
2021-01-01 03:00:00,NA,NA,119.60,30.17,111.47,52.24,10.27,3.90,0.53,24.83,53.70,11.66,NA,6.66,21.57,NA,98.99,1.00,294.60,NA,0.00,7.62,751.24,NA
2021-01-01 04:00:00,NA,NA,139.56,27.98,126.29,50.98,10.48,3.79,0.50,26.04,54.69,12.06,NA,7.20,22.15,NA,99.00,0.36,166.68,NA,0.00,7.45,751.26,NA
2021-01-01 05:00:00,NA,NA,129.29,26.90,117.52,49.06,11.76,3.68,0.51,25.45,57.30,12.17,NA,7.80,22.35,NA,98.68,0.27,45.91,NA,0.00,7.52,751.35,NA
2021-01-01 06:00:00,NA,NA,99.36,27.66,93.97,47.47,13.42,2.63,0.52,22.62,71.04,11.74,NA,8.43,21.66,NA,98.62,0.61,41.00,NA,0.00,9.05,751.56,NA
2021-01-01 07:00:00,NA,NA,83.82,32.61,84.13,47.42,15.54,1.89,0.51,17.87,77.86,9.30,NA,7.54,17.55,NA,98.66,0.51,51.28,NA,0.00,11.95,751.91,NA
2021-01-01 08:00:00,309.70,353.15,46.77,31.65,53.99,43.51,14.22,0.73,0.51,14.02,52.84,6.80,NA,4.90,13.19,NA,99.00,0.44,73.26,NA,0.00,26.10,752.34,NA
2021-01-01 09:00:00,244.78,340.59,33.15,32.65,43.62,43.96,12.81,2.02,0.50,10.32,38.94,5.08,NA,3.22,10.12,NA,99.00,0.52,111.52,NA,0.00,57.12,752.64,NA
2021-01-01 10:00:00,216.05,403.30,54.08,75.55,82.82,59.18,12.23,2.19,0.60,10.36,38.04,4.03,NA,2.55,8.25,NA,99.00,0.81,69.34,NA,0.00,151.78,752.55,NA
2021-01-01 11:00:00,269.70,942.56,53.55,262.97,180.52,95.82,13.63,3.01,1.80,11.55,32.87,4.33,NA,3.02,9.06,NA,95.02,1.15,39.89,NA,0.00,216.28,752.23,NA
2021-01-01 12:00:00,356.02,628.53,23.60,142.39,93.44,92.31,12.76,1.62,2.95,12.18,30.47,4.22,NA,2.66,8.52,NA,79.65,1.62,46.28,NA,0.00,247.10,751.76,NA
2021-01-01 13:00:00,310.08,603.68,15.21,105.30,67.30,93.44,10.80,1.96,4.27,8.42,19.81,2.03,NA,1.51,4.28,NA,74.52,1.55,46.05,NA,0.00,253.12,751.41,NA
2021-01-01 14:00:00,285.05,546.78,9.86,115.94,68.59,100.71,11.23,1.96,5.72,7.14,23.21,1.74,NA,1.52,3.68,NA,65.24,1.19,58.02,NA,0.00,204.98,751.05,NA
2021-01-01 15:00:00,285.20,543.30,6.64,109.52,62.65,113.88,11.70,1.46,6.31,6.89,24.25,2.13,NA,1.90,4.69,NA,54.65,0.98,67.53,NA,0.00,100.88,750.82,NA
2021-01-01 16:00:00,270.97,NA,5.02,104.70,58.83,117.64,16.34,1.10,5.66,4.25,27.79,2.12,NA,1.91,4.89,NA,47.21,1.08,113.57,NA,0.00,42.92,750.81,NA
2021-01-01 17:00:00,218.40,NA,5.99,138.00,77.04,121.00,14.37,1.87,2.55,4.15,23.40,2.84,NA,2.71,6.39,NA,58.42,0.83,108.50,NA,0.00,9.75,750.68,NA
2021-01-01 18:00:00,230.55,NA,21.18,126.64,83.25,110.91,9.95,2.03,0.84,6.48,20.89,3.62,NA,3.00,8.40,NA,73.82,0.55,136.36,NA,0.00,4.82,750.79,NA
2021-01-01 19:00:00,226.72,395.57,46.14,102.50,90.58,108.15,11.38,2.38,0.67,8.26,24.55,4.96,NA,3.88,10.53,NA,84.54,0.42,250.70,NA,0.00,6.45,750.97,NA
2021-01-01 20:00:00,249.48,460.60,109.61,88.83,134.20,113.86,12.28,3.35,0.74,10.66,34.38,8.62,NA,8.21,16.92,NA,85.98,0.35,87.29,NA,0.00,7.58,751.09,NA
2021-01-01 21:00:00,303.40,796.44,137.28,95.53,159.84,114.83,13.36,3.76,0.81,14.92,45.69,11.44,NA,10.42,22.66,NA,88.66,0.46,129.30,NA,0.00,7.42,751.31,NA
2021-01-01 22:00:00,365.28,724.21,159.27,80.33,169.48,108.82,14.96,3.74,0.73,15.77,50.52,10.12,NA,8.02,20.46,NA,92.01,0.93,78.77,NA,0.00,8.28,751.29,NA
2021-01-01 23:00:00,387.98,731.51,84.52,115.74,128.22,110.73,15.59,1.99,0.69,14.19,47.59,8.18,NA,5.30,16.90,NA,90.78,0.68,136.07,NA,0.00,7.20,751.09,NA
2021-01-02 00:00:00,367.52,606.07,65.99,81.81,95.62,94.20,15.42,1.04,0.54,9.80,25.06,3.76,NA,2.25,8.06,NA,92.10,0.54,86.24,NA,0.00,7.30,750.96,NA
2021-01-02 01:00:00,314.70,393.00,49.87,79.69,81.62,99.63,10.84,2.10,0.50,8.24,21.83,2.68,NA,1.68,5.80,NA,88.47,0.65,193.23,NA,0.00,7.20,750.88,NA
2021-01-02 02:00:00,NA,NA,34.14,68.49,63.17,100.40,11.31,1.52,0.50,7.27,23.74,2.33,NA,1.51,4.69,NA,89.94,0.72,176.72,NA,0.00,8.25,750.99,NA
2021-01-02 03:00:00,NA,NA,23.88,82.30,62.20,96.04,11.64,0.70,0.52,7.12,28.72,2.63,NA,1.66,4.55,NA,86.49,0.73,140.73,NA,0.00,7.72,750.99,NA
2021-01-02 04:00:00,NA,NA,20.34,77.96,57.09,94.27,11.82,0.40,0.51,6.96,25.67,2.67,NA,1.74,4.52,NA,85.12,0.84,41.12,NA,0.00,7.18,750.92,NA
2021-01-02 05:00:00,NA,NA,12.22,78.94,51.11,89.76,11.41,1.65,0.51,6.70,25.01,1.94,NA,1.36,3.64,NA,83.16,0.72,201.32,NA,0.00,8.67,750.86,NA
2021-01-02 06:00:00,NA,NA,6.12,74.97,44.14,76.29,11.84,1.54,0.54,6.40,19.60,1.41,NA,1.07,2.86,NA,81.82,0.46,54.10,NA,0.00,7.88,751.12,NA
2021-01-02 07:00:00,NA,770.92,14.65,82.39,54.85,81.33,13.00,1.55,0.57,7.06,11.84,1.24,NA,0.92,2.56,NA,83.46,0.94,89.83,NA,0.00,16.68,751.16,NA
2021-01-02 08:00:00,NA,627.93,23.11,97.24,69.40,77.34,14.07,1.62,0.64,6.94,16.08,1.30,NA,1.00,2.68,NA,78.82,0.98,183.64,NA,0.00,25.60,751.76,NA
2021-01-02 09:00:00,NA,724.08,34.47,110.31,85.33,80.06,15.49,2.10,0.66,7.86,25.34,2.37,NA,1.42,4.40,NA,80.68,0.78,149.12,NA,0.00,52.47,751.99,NA
2021-01-02 10:00:00,322.70,NA,31.96,111.14,83.75,83.02,16.24,2.50,0.99,8.43,22.32,2.47,NA,1.49,5.53,NA,80.66,0.90,68.07,NA,0.00,62.25,752.01,NA
2021-01-02 11:00:00,135.52,323.22,17.18,114.53,73.70,85.64,16.74,1.68,1.37,7.97,22.65,2.12,NA,1.30,4.75,NA,71.49,0.54,135.04,NA,0.00,63.78,751.93,NA
2021-01-02 12:00:00,238.10,482.72,16.99,120.70,76.78,84.61,27.88,1.18,3.36,8.13,35.02,3.60,NA,2.86,6.84,NA,61.22,1.11,109.38,NA,0.00,133.00,751.39,NA
2021-01-02 13:00:00,261.32,480.07,7.68,82.52,49.35,80.65,38.68,1.22,9.70,6.78,27.48,3.93,NA,3.59,6.81,NA,46.28,1.51,117.88,NA,0.00,188.95,750.75,NA
2021-01-02 14:00:00,203.35,444.00,5.96,72.54,42.74,79.94,31.22,0.92,11.59,4.32,14.56,2.34,NA,1.62,3.49,NA,38.78,1.84,129.49,NA,0.00,113.90,750.26,NA
2021-01-02 15:00:00,193.02,403.25,7.82,99.07,58.13,84.15,31.72,0.66,7.14,3.72,12.68,1.58,NA,1.51,3.22,NA,43.95,1.23,103.56,NA,0.00,86.20,750.00,NA
2021-01-02 16:00:00,147.22,366.98,5.73,88.40,50.86,88.06,23.66,0.54,7.00,3.94,17.38,2.21,NA,1.58,3.80,NA,49.81,1.49,125.89,NA,0.00,45.90,749.94,NA
2021-01-02 17:00:00,185.58,373.74,8.74,117.60,68.56,90.50,21.54,1.77,2.81,6.02,30.84,4.18,NA,3.43,7.73,NA,54.35,1.36,111.26,NA,0.00,11.27,749.91,NA
2021-01-02 18:00:00,207.85,408.07,15.24,121.31,75.71,93.60,21.38,1.54,1.99,6.44,32.12,4.19,NA,3.92,8.93,NA,54.25,1.45,122.98,NA,0.00,6.98,749.96,NA
2021-01-02 19:00:00,224.35,420.26,25.08,128.12,87.15,94.70,17.86,1.58,1.34,8.18,40.68,4.98,NA,5.06,10.62,NA,58.75,1.74,129.55,NA,0.00,6.55,749.96,NA
2021-01-02 20:00:00,223.40,458.80,29.08,119.64,85.90,91.96,16.80,1.27,1.08,8.26,36.31,5.18,NA,4.45,9.98,NA,56.89,1.92,155.78,NA,0.00,6.25,750.04,NA
2021-01-02 21:00:00,195.58,461.91,21.73,107.24,73.53,86.54,14.92,1.65,0.97,7.24,26.76,5.32,NA,3.54,9.36,NA,53.26,1.61,166.85,NA,0.00,6.88,750.19,NA
2021-01-02 22:00:00,169.58,436.30,32.42,95.08,75.72,96.94,14.62,1.24,1.05,5.76,22.19,4.46,NA,2.89,7.99,NA,57.53,1.29,206.36,NA,0.00,7.52,750.24,NA
2021-01-02 23:00:00,199.02,407.64,42.90,108.97,91.37,102.65,14.24,1.07,0.80,6.41,30.69,4.96,NA,3.59,8.86,NA,56.40,0.37,295.71,NA,0.00,6.40,750.17,NA
2021-01-03 00:00:00,163.40,397.03,41.02,93.86,81.96,100.94,14.07,0.81,0.77,7.26,46.63,4.82,NA,3.61,8.91,NA,62.07,0.77,173.16,NA,0.00,7.80,750.13,NA
2021-01-03 01:00:00,148.45,382.85,35.39,90.97,75.94,98.25,11.95,1.35,0.68,6.49,45.45,4.64,NA,3.06,7.87,NA,60.93,0.38,99.77,NA,0.00,6.92,749.79,NA
2021-01-03 02:00:00,199.35,364.94,27.09,81.70,64.45,95.93,12.98,0.68,0.85,5.48,37.51,3.79,NA,2.37,6.46,NA,61.42,0.63,99.81,NA,0.00,7.75,749.85,NA
2021-01-03 03:00:00,171.55,345.04,27.93,81.14,64.83,96.82,13.71,0.49,0.85,5.04,28.42,2.86,NA,2.06,5.61,NA,67.08,1.21,43.60,NA,0.00,8.10,749.78,NA
2021-01-03 04:00:00,181.78,347.06,8.41,64.61,40.55,91.59,13.24,NA,0.86,4.15,17.46,1.44,NA,1.05,2.84,NA,71.51,1.18,48.04,NA,0.00,7.10,749.57,NA
2021-01-03 05:00:00,161.62,346.81,6.03,55.09,33.67,90.05,12.65,0.78,0.86,3.37,5.66,0.86,NA,0.58,1.54,NA,74.87,0.93,108.03,NA,0.00,7.12,749.57,NA
2021-01-03 06:00:00,129.30,332.22,4.40,51.40,30.36,91.67,12.64,0.71,0.80,3.05,4.01,0.76,NA,0.52,1.36,NA,85.52,1.02,122.91,NA,0.00,8.65,749.91,NA
2021-01-03 07:00:00,127.25,314.20,4.78,46.38,28.10,73.39,9.36,0.87,0.50,3.14,8.53,0.90,NA,0.62,1.45,NA,97.33,0.94,83.90,NA,0.00,9.35,750.34,NA
2021-01-03 08:00:00,152.55,293.60,5.37,51.38,31.20,63.80,10.57,0.91,1.18,2.67,11.11,0.69,NA,0.51,1.28,NA,98.96,1.10,95.62,NA,0.00,19.83,750.77,NA
2021-01-03 09:00:00,105.68,255.65,8.24,36.84,25.88,52.57,10.91,1.17,2.62,1.05,4.36,0.48,NA,0.34,0.88,NA,98.95,1.25,99.76,NA,0.00,50.25,750.58,NA
2021-01-03 10:00:00,83.90,183.54,11.44,50.36,35.52,60.10,10.81,1.37,2.00,1.06,4.65,0.61,NA,0.38,1.13,NA,98.87,1.72,131.14,NA,0.00,30.50,750.75,NA
2021-01-03 11:00:00,80.80,146.25,12.05,46.34,33.91,57.72,11.47,1.39,1.88,1.43,8.11,0.70,NA,0.47,1.35,NA,98.92,0.94,74.11,NA,0.00,71.08,750.73,NA
2021-01-03 12:00:00,65.95,145.76,15.33,56.06,41.61,55.38,11.67,1.24,1.76,1.70,9.87,0.96,NA,0.64,1.92,NA,98.92,1.47,137.22,NA,0.00,41.88,750.30,NA
2021-01-03 13:00:00,75.00,118.72,9.77,39.42,28.45,51.70,15.23,0.88,2.38,1.38,8.81,1.05,NA,0.82,1.82,NA,98.92,1.82,121.18,NA,0.00,63.88,750.02,NA
2021-01-03 14:00:00,55.92,112.25,11.53,42.35,31.40,53.53,15.62,0.46,2.50,1.38,11.00,0.82,NA,0.58,1.49,NA,98.91,1.76,116.08,NA,0.00,63.68,749.74,NA
2021-01-03 15:00:00,57.53,87.10,8.64,26.24,20.65,51.41,14.10,NA,3.06,1.02,7.12,0.80,NA,0.63,1.58,NA,97.81,1.84,100.41,NA,0.00,63.05,749.36,NA
2021-01-03 16:00:00,32.58,51.79,7.76,29.50,21.65,53.91,15.40,NA,2.88,0.70,3.82,0.59,NA,0.43,1.13,NA,90.90,1.60,106.73,NA,0.00,46.00,749.49,NA
2021-01-03 17:00:00,29.82,54.02,6.86,31.68,22.08,56.96,14.64,0.51,2.37,0.85,3.81,0.66,NA,0.39,1.21,NA,89.93,1.91,109.29,NA,0.00,15.88,749.55,NA
2021-01-03 18:00:00,17.10,39.59,9.40,46.01,31.61,57.30,14.64,0.51,1.15,1.13,4.13,0.87,NA,0.53,1.66,NA,92.73,1.87,129.97,NA,0.00,6.90,749.61,NA
2021-01-03 19:00:00,16.62,47.16,11.64,51.93,36.50,58.98,15.26,0.32,0.93,1.52,8.32,1.43,NA,0.92,2.94,NA,95.42,2.06,147.04,NA,0.00,6.75,749.87,NA
2021-01-03 20:00:00,40.62,69.30,10.69,48.54,33.97,52.98,13.08,NA,0.60,1.68,6.88,1.69,NA,0.78,2.40,NA,98.47,2.14,145.10,NA,0.00,7.35,750.02,NA
2021-01-03 21:00:00,63.30,72.19,8.71,40.42,28.13,38.08,10.46,1.05,0.92,1.16,4.47,1.12,NA,0.53,1.62,NA,98.92,1.79,159.53,NA,0.00,7.52,750.13,NA
2021-01-03 22:00:00,42.88,96.18,7.96,38.47,26.51,34.95,9.94,0.99,0.82,1.01,3.03,0.95,NA,0.43,1.43,NA,98.92,1.13,158.54,NA,0.00,7.30,750.19,NA
2021-01-03 23:00:00,37.80,94.89,8.18,37.51,26.18,36.31,9.85,0.73,0.86,0.94,2.27,0.76,NA,0.38,1.28,NA,98.94,1.16,152.20,NA,0.00,8.20,750.21,NA
2021-01-04 00:00:00,25.15,87.91,8.88,34.26,25.04,36.88,9.32,0.69,0.78,0.85,2.05,0.79,NA,0.38,1.09,NA,98.95,0.65,207.02,NA,0.00,7.28,750.00,NA
2021-01-04 01:00:00,17.85,69.23,10.66,35.13,26.92,37.22,10.47,1.13,0.50,1.19,5.77,1.02,NA,0.54,1.36,NA,98.95,0.93,128.15,NA,0.00,7.98,750.08,NA
2021-01-04 02:00:00,46.60,68.31,27.49,27.31,36.29,35.49,9.65,1.37,0.50,2.26,12.95,1.52,NA,0.86,2.57,NA,98.96,0.96,92.01,NA,0.00,7.68,750.06,NA
2021-01-04 03:00:00,61.72,95.84,19.25,26.18,29.10,40.15,9.20,1.14,0.50,3.88,8.52,1.12,NA,0.72,2.16,NA,98.97,1.18,103.17,NA,0.00,8.72,750.24,NA
2021-01-04 04:00:00,68.60,149.96,6.46,21.96,16.66,38.39,8.30,0.75,0.86,1.55,3.94,0.40,NA,0.29,0.80,NA,98.98,1.08,43.20,NA,0.00,8.00,750.30,NA
2021-01-04 05:00:00,54.60,99.26,6.48,19.22,15.25,35.69,6.70,0.86,0.70,0.73,1.33,0.24,NA,0.16,0.49,NA,99.00,0.78,160.32,NA,0.00,7.10,750.51,NA
2021-01-04 06:00:00,39.58,51.94,12.38,15.88,18.22,33.49,6.13,1.00,0.50,0.82,1.43,0.30,NA,0.19,0.61,NA,99.00,0.62,263.16,NA,0.00,7.70,750.69,NA
2021-01-04 07:00:00,36.80,60.98,32.65,12.85,32.85,29.46,8.17,1.19,0.50,1.13,2.36,0.55,NA,0.31,1.13,NA,99.00,0.63,263.47,NA,0.00,17.62,751.09,NA
2021-01-04 08:00:00,NA,NA,51.82,18.04,50.90,29.92,8.25,1.45,0.51,1.66,4.50,1.02,NA,0.52,2.07,NA,98.99,0.78,200.61,NA,0.00,33.98,751.58,NA
2021-01-04 09:00:00,72.50,88.02,58.19,34.09,64.40,49.10,11.18,1.16,1.15,3.24,11.34,2.11,NA,0.90,3.51,NA,98.97,0.47,125.99,NA,0.00,110.05,751.72,NA
2021-01-04 10:00:00,73.65,308.07,90.14,120.84,135.38,25.69,20.48,2.17,3.40,4.69,18.90,3.79,NA,1.61,7.11,NA,94.45,1.08,93.35,NA,0.00,217.85,751.56,NA
2021-01-04 11:00:00,135.95,243.56,26.72,80.07,63.30,42.97,49.21,2.07,8.61,4.92,21.15,3.26,NA,1.78,7.18,NA,78.47,1.40,57.36,NA,0.00,259.92,750.98,NA
2021-01-04 12:00:00,123.10,221.89,11.34,38.54,29.26,41.34,37.38,1.41,12.76,1.84,9.61,0.99,NA,0.59,2.04,NA,70.44,1.39,29.68,NA,0.00,343.85,750.54,NA
2021-01-04 13:00:00,68.82,99.60,8.20,32.25,23.45,38.52,27.62,0.45,13.46,0.88,3.18,0.50,NA,0.32,0.94,NA,66.86,0.96,112.09,NA,0.00,149.12,750.22,NA
2021-01-04 14:00:00,69.75,84.86,8.81,39.99,27.99,36.44,29.59,0.74,12.63,1.06,5.25,0.80,NA,0.57,1.42,NA,66.81,1.16,215.24,NA,0.00,155.35,749.98,NA
2021-01-04 15:00:00,61.95,115.86,9.86,46.40,32.17,35.08,29.48,0.71,9.29,2.00,14.15,1.51,NA,1.30,3.01,NA,70.68,1.24,286.71,NA,0.00,61.15,749.98,NA
2021-01-04 16:00:00,54.38,156.38,22.23,79.16,59.23,29.98,15.70,1.22,3.70,5.92,24.34,5.41,NA,2.86,9.05,NA,85.38,0.73,182.51,NA,0.00,12.68,749.91,NA
2021-01-04 17:00:00,102.30,365.95,47.85,100.88,91.09,22.17,14.00,1.54,0.94,12.00,50.30,11.72,NA,7.54,18.79,NA,93.99,1.61,87.75,NA,0.00,10.48,749.92,NA
2021-01-04 18:00:00,119.62,385.88,25.52,62.46,53.12,35.40,13.14,1.90,1.22,14.52,41.60,8.30,NA,6.14,16.44,NA,94.10,2.34,306.01,NA,0.00,8.82,750.58,NA
2021-01-04 19:00:00,142.22,153.99,9.19,35.51,25.94,34.95,10.18,0.66,4.40,3.79,38.00,2.48,NA,1.98,5.30,NA,93.67,2.43,253.70,NA,0.00,8.52,750.94,NA
2021-01-04 20:00:00,74.60,80.82,8.94,36.86,26.44,34.56,10.64,0.23,4.69,2.57,21.44,1.51,NA,1.19,3.31,NA,90.90,3.14,338.44,NA,0.00,7.82,751.28,NA
2021-01-04 21:00:00,75.40,124.22,7.71,29.18,21.44,40.25,10.85,0.31,5.22,1.55,16.88,1.02,NA,0.82,2.19,NA,90.10,2.66,352.95,NA,0.00,9.10,750.97,NA
2021-01-04 22:00:00,40.70,42.85,5.04,19.80,14.40,43.91,10.26,NA,7.10,0.78,3.00,0.45,NA,0.31,0.91,NA,85.64,2.71,336.26,NA,0.00,9.40,751.12,NA
2021-01-04 23:00:00,26.00,39.21,6.10,24.57,17.74,44.13,9.29,NA,6.05,0.54,1.60,0.33,NA,0.20,0.58,NA,89.84,1.45,259.26,NA,0.00,7.72,751.42,NA
2021-01-05 00:00:00,14.98,61.99,5.61,26.31,18.26,47.96,7.40,NA,5.10,1.12,4.11,0.56,NA,0.36,1.00,NA,91.39,2.44,345.86,NA,0.00,7.93,751.16,NA
2021-01-05 01:00:00,10.02,69.35,5.32,23.02,16.31,48.55,11.98,0.34,5.16,0.73,3.07,0.39,NA,0.26,0.69,NA,91.31,2.59,27.21,NA,0.00,8.00,750.77,NA
2021-01-05 02:00:00,11.90,96.66,4.76,17.28,12.86,50.05,10.74,0.19,5.03,0.75,0.94,0.19,NA,0.12,0.38,NA,93.66,1.59,207.90,NA,0.00,7.10,750.68,NA
2021-01-05 03:00:00,11.38,60.18,4.26,14.68,11.09,49.53,9.52,NA,2.62,0.34,0.70,0.16,NA,0.10,0.30,NA,98.48,1.23,85.67,NA,0.00,7.65,750.54,NA
2021-01-05 04:00:00,NA,62.81,6.11,22.45,16.64,47.39,8.53,0.13,2.05,0.45,1.56,0.37,NA,0.20,0.71,NA,98.04,0.91,65.34,NA,0.00,7.42,750.15,NA
2021-01-05 05:00:00,NA,63.32,4.80,19.30,13.94,48.47,7.77,0.40,4.80,0.36,1.04,0.24,NA,0.14,0.46,NA,84.79,1.40,80.26,NA,0.00,8.65,749.94,NA
2021-01-05 06:00:00,NA,42.38,3.92,21.60,14.44,48.22,8.19,0.67,3.89,0.43,0.66,0.16,NA,0.09,0.31,NA,78.17,1.95,59.95,NA,0.00,8.90,749.94,NA
2021-01-05 07:00:00,NA,54.34,5.91,26.18,18.43,48.06,9.85,0.91,2.67,0.60,0.91,0.21,NA,0.14,0.44,NA,82.93,1.62,102.98,NA,0.00,26.25,750.24,NA
2021-01-05 08:00:00,13.10,78.96,12.62,39.22,30.63,46.65,9.64,0.98,1.17,1.06,1.81,0.42,NA,0.29,0.90,NA,84.08,1.94,229.10,NA,0.00,21.08,751.44,NA
2021-01-05 09:00:00,31.50,78.48,18.38,43.27,37.36,47.52,8.83,0.44,1.13,2.12,4.84,1.07,NA,0.61,2.34,NA,88.42,2.28,30.33,NA,0.00,51.48,751.72,NA
2021-01-05 10:00:00,48.88,117.36,21.96,44.79,41.02,45.46,11.08,0.44,1.56,3.30,7.00,1.66,NA,1.51,4.23,NA,87.81,1.42,24.69,NA,0.00,114.72,751.72,NA
2021-01-05 11:00:00,63.05,151.38,10.65,26.15,22.22,37.93,16.33,0.17,4.22,1.64,3.71,0.83,NA,0.73,1.95,NA,79.68,1.75,72.05,NA,0.00,214.65,751.20,NA
2021-01-05 12:00:00,52.18,141.75,10.56,32.81,25.63,31.38,20.43,0.37,7.08,1.29,3.99,0.55,NA,0.51,1.16,NA,73.78,1.30,82.38,NA,0.00,195.35,750.71,NA
2021-01-05 13:00:00,47.38,128.32,11.93,51.67,36.60,28.71,19.86,0.52,6.72,2.04,11.68,1.23,NA,1.01,2.53,NA,77.92,1.97,169.66,NA,0.00,80.05,750.38,NA
2021-01-05 14:00:00,62.28,170.77,16.41,45.36,36.88,28.55,15.48,0.80,4.41,7.00,10.52,2.41,NA,1.54,5.50,NA,85.15,2.36,267.08,NA,0.00,141.85,750.26,NA
2021-01-05 15:00:00,75.50,186.15,10.68,30.07,24.29,30.23,15.67,0.27,5.74,3.76,7.76,1.24,NA,1.03,2.97,NA,81.94,3.44,21.36,NA,0.00,115.82,749.91,NA
2021-01-05 16:00:00,75.25,167.67,7.95,21.24,17.48,27.78,13.88,NA,5.26,1.17,2.50,0.52,NA,0.39,1.08,NA,84.64,2.90,25.48,NA,0.00,55.42,749.79,NA
2021-01-05 17:00:00,81.50,119.76,8.49,26.16,20.49,26.59,11.87,0.38,3.56,1.20,2.06,0.54,NA,0.32,1.08,NA,88.54,2.82,35.80,NA,0.00,13.15,749.78,NA
2021-01-05 18:00:00,46.15,98.72,12.66,34.90,28.40,24.72,11.35,0.50,2.48,2.09,6.64,0.96,NA,0.56,2.00,NA,88.87,1.79,144.07,NA,0.00,6.90,750.06,NA
2021-01-05 19:00:00,37.72,129.01,18.21,36.14,33.49,23.04,8.75,0.61,0.70,2.33,6.25,1.36,NA,0.80,3.23,NA,93.88,1.48,98.81,NA,0.00,7.25,750.24,NA
2021-01-05 20:00:00,62.15,118.36,19.33,46.30,39.70,26.34,8.18,0.82,1.33,2.44,5.82,1.72,NA,0.86,3.95,NA,89.74,1.49,66.18,NA,0.00,7.55,750.06,NA
2021-01-05 21:00:00,50.10,123.56,12.26,39.37,30.42,26.16,8.70,0.40,0.94,1.90,3.99,1.05,NA,0.58,2.20,NA,91.45,0.44,219.49,NA,0.00,7.42,750.28,NA
2021-01-05 22:00:00,36.40,121.69,38.65,35.01,49.25,17.04,9.11,0.52,0.50,2.37,6.80,1.54,NA,0.82,3.39,NA,94.76,0.66,161.08,NA,0.00,8.28,750.39,NA
2021-01-05 23:00:00,71.90,131.55,47.43,34.39,55.95,25.38,9.25,0.61,0.50,2.64,11.74,2.02,NA,1.14,4.67,NA,94.16,1.18,193.81,NA,0.00,6.85,750.47,NA
2021-01-06 00:00:00,73.25,121.89,58.47,24.35,59.52,28.06,10.46,0.50,0.50,2.53,12.93,2.09,NA,1.14,4.24,NA,97.68,0.52,178.69,NA,0.00,7.78,751.11,NA
2021-01-06 01:00:00,64.78,139.20,65.99,19.98,63.25,27.37,9.16,0.37,0.50,2.78,15.97,2.24,NA,1.48,4.66,NA,98.75,1.06,238.15,NA,0.00,8.60,751.12,NA
2021-01-06 02:00:00,79.40,147.49,72.69,22.50,69.93,27.36,10.20,0.30,0.50,3.14,22.66,2.04,NA,1.60,4.65,NA,98.90,1.13,273.85,NA,0.00,7.82,750.96,NA
2021-01-06 03:00:00,80.10,159.66,61.37,15.18,57.04,32.64,11.22,0.16,0.51,4.08,21.78,1.83,NA,1.36,3.90,NA,98.92,0.82,260.21,NA,0.00,7.72,750.94,NA
2021-01-06 04:00:00,133.27,219.20,59.46,9.28,52.43,30.28,12.48,NA,0.62,4.34,17.48,1.47,NA,1.03,2.87,NA,98.92,0.88,157.18,NA,0.00,7.78,750.82,NA
2021-01-06 05:00:00,146.30,280.08,69.55,13.38,62.64,28.40,15.42,0.40,0.66,4.98,14.95,1.58,NA,0.98,2.96,NA,98.92,0.92,113.17,NA,0.00,7.52,750.75,NA
2021-01-06 06:00:00,165.38,326.66,50.91,14.42,48.28,34.17,15.65,0.39,0.57,5.37,9.50,1.21,NA,0.76,2.21,NA,98.94,1.44,108.40,NA,0.00,8.20,750.88,NA
2021-01-06 07:00:00,160.68,295.73,41.75,17.78,42.71,30.55,10.34,0.25,1.66,3.48,6.53,1.02,NA,0.69,2.02,NA,98.95,1.26,161.27,NA,0.00,10.45,751.61,NA
2021-01-06 08:00:00,140.43,276.73,26.40,28.58,36.08,29.90,9.94,0.15,1.34,2.89,4.09,0.86,NA,0.84,1.99,NA,98.95,1.41,43.00,NA,0.00,49.80,753.56,NA
2021-01-06 09:00:00,109.90,246.62,37.33,32.90,47.09,27.57,10.19,0.58,1.02,3.08,4.74,1.08,NA,0.67,2.44,NA,98.96,1.55,87.64,NA,0.00,71.32,753.22,NA
2021-01-06 10:00:00,105.85,241.28,26.45,32.97,38.42,27.63,13.18,0.38,4.03,3.22,5.96,1.40,NA,0.78,3.25,NA,98.64,1.31,84.53,NA,0.00,189.02,754.31,NA
